	기간	구분	행정구역면적(㎡)	공원면적(㎡)	Unnamed: 5	조성면적(㎡)	미조성면적(㎡)
0	2019	합계	605,237,002	168,896,780	148,403,999	20,492,781	
1	2019	종로구	23,913,280	11,556,112	11,489,786	66,327	
2	2019	중구	9,959,983	3,155,139	3,124,646	30,494	
3	2019	용산구	21,866,384	1,779,562	1,664,655	114,907	
4	2019	성동구	16,859,343	3,100,047	2,994,794	105,253	
5	2019	광진구	17,062,949	3,363,481	3,360,846	2,635	
6	2019	동대문구	14,215,360	1,275,134	1,199,585	75,549	
7	2019	중랑구	18,496,071	5,205,284	5,134,504	70,780	
8	2019	성북구	24,574,349	8,329,401	8,183,985	145,417	
9	2019	강북구	23,600,102	14,342,272	14,173,131	169,141	
10	2019	도봉구	20,660,965	10,075,021	10,073,960	1,060	
11	2019	노원구	35,437,538	14,344,421	14,124,005	220,415	
12	2019	은평구	29,711,421	13,991,566	10,992,516	2,999,050	
13	2019	서대문구	17,625,638	5,143,254	5,064,272	78,981	
14	2019	마포구	23,851,343	4,440,002	4,334,936	105,067	
15	2019	양천구	17,405,710	2,912,035	1,891,826	1,020,209	
16	2019	강서구	41,436,853	4,370,320	4,241,665	128,655	
17	2019	구로구	20,120,106	3,336,138	1,441,833	1,894,304	
18	2019	금천구	13,020,260	2,206,213	2,205,217	996	
19	2019	영등포구	24,548,520	3,050,378	2,975,259	75,119	
20	2019	동작구	16,354,618	4,584,220	4,531,994	52,225	
21	2019	관악구	29,568,929	10,976,868	10,874,155	102,713	
22	2019	서초구	46,983,285	16,080,991	4,979,050	11,101,941	
23	2019	강남구	39,501,013	6,594,334	5,661,169	933,165	
24	2019	송파구	33,872,729	4,644,814	4,278,371	366,443	
25	2019	강동구	24,590,256	3,369,773	2,737,839	631,934	
26	2019	서울대공원	-	6,670,000	6,670,000	-	
