기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인
기간	자치구	세대	합계	남자	여자	소계	남자	여자	소계	남자	여자
2021.02	서울시	4,427,814	9,881,998	4,799,707	5,082,291	9,648,606	4,690,282	4,958,324	233,392	109,425	123,967
2021.02	종로구	75,112	158,332	76,550	81,782	148,884	72,372	76,512	9,448	4,178	5,270
2021.02	중구	63,789	134,110	65,506	68,604	124,836	61,018	63,818	9,274	4,488	4,786
2021.02	용산구	113,600	244,460	118,599	125,861	230,113	110,646	119,467	14,347	7,953	6,394
2021.02	성동구	135,958	299,204	145,818	153,386	292,537	142,904	149,633	6,667	2,914	3,753
2021.02	광진구	167,677	358,176	171,981	186,195	345,248	166,535	178,713	12,928	5,446	7,482
2021.02	동대문구	167,854	355,503	174,555	180,948	341,756	169,139	172,617	13,747	5,416	8,331
2021.02	중랑구	186,457	398,732	196,574	202,158	393,933	194,665	199,268	4,799	1,909	2,890
2021.02	성북구	196,066	447,469	215,004	232,465	437,961	211,283	226,678	9,508	3,721	5,787
2021.02	강북구	145,962	310,106	150,714	159,392	306,639	149,427	157,212	3,467	1,287	2,180
2021.02	도봉구	138,974	325,470	158,368	167,102	323,431	157,603	165,828	2,039	765	1,274
2021.02	노원구	218,184	524,363	252,729	271,634	520,366	250,929	269,437	3,997	1,800	2,197
2021.02	은평구	214,288	482,479	231,010	251,469	478,336	229,318	249,018	4,143	1,692	2,451
2021.02	서대문구	144,891	321,500	152,567	168,933	311,132	148,908	162,224	10,368	3,659	6,709
2021.02	마포구	178,815	380,985	178,503	202,482	371,200	174,741	196,459	9,785	3,762	6,023
2021.02	양천구	181,363	457,656	224,257	233,399	454,270	222,789	231,481	3,386	1,468	1,918
2021.02	강서구	268,129	584,606	281,813	302,793	579,082	279,269	299,813	5,524	2,544	2,980
2021.02	구로구	180,861	429,084	213,296	215,788	402,642	198,687	203,955	26,442	14,609	11,833
2021.02	금천구	115,161	246,473	125,247	121,226	231,290	116,950	114,340	15,183	8,297	6,886
2021.02	영등포구	185,969	406,702	202,217	204,485	380,443	188,029	192,414	26,259	14,188	12,071
2021.02	동작구	184,171	399,519	192,681	206,838	389,754	188,428	201,326	9,765	4,253	5,512
2021.02	관악구	275,301	507,414	253,912	253,502	493,374	247,472	245,902	14,040	6,440	7,600
2021.02	서초구	173,414	427,642	204,585	223,057	423,829	202,692	221,137	3,813	1,893	1,920
2021.02	강남구	234,776	542,644	259,566	283,078	537,879	257,231	280,648	4,765	2,335	2,430
2021.02	송파구	282,003	671,224	323,633	347,591	665,463	320,991	344,472	5,761	2,642	3,119
2021.02	강동구	199,039	468,145	230,022	238,123	464,208	228,256	235,952	3,937	1,766	2,171
